Index,Group,Median_MP,Mean_MP,Std_MP,Median_Starts,Mean_Starts,Std_Starts,Median_Goals,Mean_Goals,Std_Goals,Median_Assists,Mean_Assists,Std_Assists,Median_CrdY,Mean_CrdY,Std_CrdY,Median_CrdR,Mean_CrdR,Std_CrdR,Median_xG,Mean_xG,Std_xG,Median_xAG,Mean_xAG,Std_xAG,Median_PrgC,Mean_PrgC,Std_PrgC,Median_PrgP,Mean_PrgP,Std_PrgP,Median_PrgR,Mean_PrgR,Std_PrgR,Median_Gls_per90,Mean_Gls_per90,Std_Gls_per90,Median_Ast_per90,Mean_Ast_per90,Std_Ast_per90,Median_xG_per90,Mean_xG_per90,Std_xG_per90,Median_xGA_per90,Mean_xGA_per90,Std_xGA_per90,Median_SoT/90,Mean_SoT/90,Std_SoT/90,Median_Cmp,Mean_Cmp,Std_Cmp,Median_Cmp%,Mean_Cmp%,Std_Cmp%,Median_TotDist,Mean_TotDist,Std_TotDist,Median_Cmp%_S,Mean_Cmp%_S,Std_Cmp%_S,Median_Cmp%_M,Mean_Cmp%_M,Std_Cmp%_M,Median_KP,Mean_KP,Std_KP,Median_Pass_1/3,Mean_Pass_1/3,Std_Pass_1/3,Median_PPA,Mean_PPA,Std_PPA,Median_CrsPA,Mean_CrsPA,Std_CrsPA,Median_Pass_PrgP,Mean_Pass_PrgP,Std_Pass_PrgP,Median_SCA,Mean_SCA,Std_SCA,Median_SCA90,Mean_SCA90,Std_SCA90,Median_GCA,Mean_GCA,Std_GCA,Median_GCA90,Mean_GCA90,Std_GCA90,Median_Tkl,Mean_Tkl,Std_Tkl,Median_TklW,Mean_TklW,Std_TklW,Median_Chal_Att,Mean_Chal_Att,Std_Chal_Att,Median_Chal_Lost,Mean_Chal_Lost,Std_Chal_Lost,Median_Blocks,Mean_Blocks,Std_Blocks,Median_Block_Sh,Mean_Block_Sh,Std_Block_Sh,Median_Block_Pass,Mean_Block_Pass,Std_Block_Pass,Median_Int,Mean_Int,Std_Int,Median_Touches,Mean_Touches,Std_Touches,Median_Def_Pen,Mean_Def_Pen,Std_Def_Pen,Median_Def_3rd,Mean_Def_3rd,Std_Def_3rd,Median_Mid_3rd,Mean_Mid_3rd,Std_Mid_3rd,Median_Att_3rd,Mean_Att_3rd,Std_Att_3rd,Median_Att_Pen,Mean_Att_Pen,Std_Att_Pen,Median_TO_Att,Mean_TO_Att,Std_TO_Att,Median_Carries,Mean_Carries,Std_Carries,Median_Carry_ProDist,Mean_Carry_ProDist,Std_Carry_ProDist,Median_Carry_ProgC,Mean_Carry_ProgC,Std_Carry_ProgC,Median_Carry_1/3,Mean_Carry_1/3,Std_Carry_1/3,Median_CPA,Mean_CPA,Std_CPA,Median_Mis,Mean_Mis,Std_Mis,Median_Dis,Mean_Dis,Std_Dis,Median_Rec,Mean_Rec,Std_Rec,Median_Rec_PrgR,Mean_Rec_PrgR,Std_Rec_PrgR,Median_Fls,Mean_Fls,Std_Fls,Median_Fld,Mean_Fld,Std_Fld,Median_Off,Mean_Off,Std_Off,Median_Crs,Mean_Crs,Std_Crs,Median_Recov,Mean_Recov,Std_Recov,Median_Aerial_Won,Mean_Aerial_Won,Std_Aerial_Won,Median_Aerial_Lost,Mean_Aerial_Lost,Std_Aerial_Lost
0,all,22.0,20.672097759674134,9.635415937275416,14.0,15.164969450101832,10.638938633819016,1.0,1.9857433808553973,3.4814084071360436,1.0,1.474541751527495,2.2022399412796823,2.0,2.9083503054989817,2.5733626709461874,0.0,0.09164969450101833,0.30929730676874034,0.9,2.005702647657841,3.0492300910452514,0.8,1.484114052953157,1.8477653848845697,14.0,25.828920570264767,30.202298511256817,37.0,50.94908350305499,49.34215664751296,24.0,50.336048879837065,63.218757742297015,0.03,0.12132382892057027,0.1865948328746365,0.04,0.08975560081466395,0.12552722017268264,0.07,0.13382892057026477,0.16054754289381268,0.07,0.09804480651731161,0.1016649460413221,0.23,0.4037881873727088,0.47133538899747557,441.0,546.7942973523421,453.2715098941242,80.0,79.24826883910387,8.247486448079288,7149.0,9393.98981670061,8201.886495408819,89.8,88.69144602851324,6.784839653906642,85.7,83.88676171079429,10.231031622642487,8.0,13.513238289205702,15.173463944120028,28.0,42.75152749490835,44.341294301306306,6.0,11.509164969450103,14.200941960539346,1.0,2.7331975560081467,4.2402466427678736,37.0,50.94908350305499,49.34215664751296,21.0,31.621181262729124,31.81834728435613,1.83,2.094582484725051,1.4305978409280853,2.0,3.4480651731160896,4.182916095875167,0.16,0.21486761710794297,0.2254947684587592,17.0,24.338085539714868,22.286532851285852,10.0,14.531568228105906,13.69360499429289,17.0,22.177189409368637,20.021701721870723,8.0,10.892057026476579,10.20156840906851,11.0,15.079429735234216,13.53875029957102,2.0,5.112016293279022,7.239466535745778,8.0,9.967413441955193,9.231211322450445,7.0,11.065173116089612,11.60382717128233,722.0,826.6659877800407,613.7754213065164,31.0,93.18329938900203,172.93448979696532,156.0,273.4032586558045,303.03211978602627,271.0,351.4684317718941,310.9172153769227,139.0,209.959266802444,207.27843437711667,20.0,34.19144602851324,40.558549366073784,14.0,25.167006109979635,30.782459406954132,390.0,463.72505091649697,354.36920065261154,1012.0,1287.9164969450103,1079.400360344098,14.0,25.828920570264767,30.202298511256817,12.0,17.40529531568228,18.07921042118341,2.0,8.040733197556008,14.017859260130788,12.0,18.716904276985744,19.060679137230423,7.0,13.04887983706721,14.600449174241627,480.0,541.1955193482688,415.17000016993916,24.0,50.336048879837065,63.218757742297015,12.0,15.25254582484725,13.605722409378307,10.0,14.786150712830958,14.44189948957668,1.0,2.360488798370672,3.9157435978181536,9.0,24.236252545824847,35.39400948692561,44.0,57.45824847250509,45.83207802076403,10.0,17.90020366598778,20.897910743129877,13.0,17.883910386965375,18.173224467188266
1,West-Ham-United,20.0,20.92,8.281102986116442,14.0,14.96,10.521723559696229,0.0,1.44,2.4677925358506134,1.0,0.92,1.469693845669907,2.0,2.88,2.5871477215909673,0.0,0.12,0.33166247903553997,1.2,1.736,2.172724863698424,1.1,1.2279999999999998,1.3752333135387125,11.0,22.36,29.379528019807715,31.0,43.68,40.19091937241546,21.0,43.36,55.68877804369566,0.0,0.0864,0.1314622886356895,0.03,0.0756,0.13943576776901015,0.07,0.1404,0.16154153232734506,0.08,0.10400000000000001,0.10099504938362078,0.23,0.3904000000000001,0.4125376750471808,510.0,519.0,397.9965452111362,79.9,78.616,7.8128462589933685,8497.0,9131.32,7192.993429488635,89.8,88.7,7.048404074682439,85.7,83.22400000000002,10.738997470279367,9.0,11.96,12.12256848471753,37.0,38.52,32.99004900471252,4.0,9.76,12.173331507849444,1.0,2.56,3.4650637319776196,31.0,43.68,40.19091937241546,18.0,29.48,29.800894841150882,2.37,2.2092,1.4759429754115387,1.0,2.2,3.0686587732536617,0.1,0.1348,0.16763352886579702,17.0,22.52,19.92929167498601,11.0,13.28,11.759818592705132,21.0,18.88,14.748785260714412,7.0,9.04,7.446923302053451,14.0,16.36,13.281817144753449,4.0,6.28,8.228608630868283,9.0,10.08,7.86299349272697,8.0,12.0,14.548768561863463,656.0,806.28,580.7710765295852,33.0,105.92,173.07727561217658,196.0,297.08,306.8339561826016,366.0,343.48,279.11095762557704,116.0,173.56,179.16521239719873,22.0,30.12,38.02337000670333,11.0,28.12,44.0182916524483,318.0,411.56,309.89273413016105,714.0,1060.64,918.685604545973,11.0,22.36,29.379528019807715,10.0,14.4,16.36052158907737,2.0,6.36,12.983579372936159,11.0,17.6,19.024107513012712,6.0,14.36,21.959963570097287,455.0,515.2,380.51664440161704,21.0,43.36,55.68877804369566,14.0,15.56,13.623142075160192,11.0,14.56,16.79801575583656,1.0,2.68,4.110150037812894,11.0,21.64,26.617475462560307,43.0,55.52,46.68789993135266,10.0,20.92,26.323183698025588,12.0,19.84,18.469975636150686
2,Southampton,20.0,18.137931034482758,10.056000830815378,13.0,12.862068965517242,9.512113096809902,0.0,0.8275862068965517,1.0713464664764276,0.0,0.5172413793103449,0.8289705171033532,2.0,2.7586206896551726,2.8617573573616952,0.0,0.10344827586206896,0.40925259281898757,0.5,1.0448275862068965,1.362399722888297,0.5,0.7896551724137931,0.8957617777967402,10.0,20.24137931034483,26.47593944429788,23.0,35.55172413793103,38.55847711769058,20.0,34.51724137931034,37.54580125817302,0.0,0.05379310344827587,0.07997382576744577,0.0,0.043448275862068966,0.09729468720148837,0.04,0.07724137931034482,0.08887778734725478,0.03,0.05379310344827586,0.058518238494107144,0.15,0.2179310344827586,0.2848104546428934,242.0,485.48275862068965,464.81552567271666,80.2,80.91724137931035,7.996788148354011,3918.0,8224.206896551725,8264.992193321481,90.9,89.68275862068964,6.853469870152181,89.5,85.47586206896553,10.921069256010663,5.0,8.586206896551724,8.942344057425844,13.0,31.482758620689655,38.75437366069168,5.0,6.758620689655173,7.557660127379719,1.0,1.793103448275862,2.554817722668119,23.0,35.55172413793103,38.55847711769058,15.0,19.586206896551722,19.43398577121186,1.43,1.4175862068965517,0.8441887702421513,1.0,1.3793103448275863,1.8787114334687767,0.06,0.1089655172413793,0.14125318776646137,13.0,20.0,18.890662848538238,7.0,11.517241379310345,10.81209867844871,13.0,17.896551724137932,14.013628131180546,10.0,9.206896551724139,6.89398967188515,7.0,12.96551724137931,14.536856504909684,2.0,5.689655172413793,8.872523591225177,5.0,7.275862068965517,7.850825942555062,5.0,9.448275862068966,12.067033624408728,457.0,707.0,616.1692137716717,42.0,91.82758620689656,166.02841171780494,161.0,259.0,312.2409783667553,186.0,303.82758620689657,297.66208897308815,122.0,150.3448275862069,145.8644859993757,15.0,21.24137931034483,20.11334875224801,5.0,22.379310344827587,31.79107443596557,253.0,394.2413793103448,349.5897243476388,599.0,1070.896551724138,1087.3564386301953,10.0,20.24137931034483,26.47593944429788,9.0,14.931034482758621,18.271623265292234,1.0,5.068965517241379,7.5020522643700565,9.0,14.551724137931034,14.65943432668277,5.0,10.96551724137931,13.655147534435214,338.0,480.2758620689655,421.5171489946188,20.0,34.51724137931034,37.54580125817302,12.0,14.344827586206897,12.989764822651072,8.0,13.275862068965518,15.156084472967422,0.0,1.4827586206896552,2.599734734478726,6.0,17.103448275862068,25.955105233551436,23.0,45.03448275862069,42.99375599069232,8.0,14.172413793103448,20.39444771345735,8.0,12.379310344827585,13.299875920751637
3,Everton,23.5,21.727272727272727,9.166096007424098,14.5,16.954545454545453,10.558126063560048,1.0,1.4090909090909092,1.9678146183760226,1.0,0.9090909090909091,1.1087999050492516,3.0,3.227272727272727,2.2239351262767193,0.0,0.09090909090909091,0.29424494316824984,1.1,1.6727272727272728,1.9523323824599468,1.05,1.2818181818181822,1.113824968568249,12.0,19.727272727272727,19.988524846549474,36.0,41.31818181818182,34.32392801868741,23.5,40.5,39.9043499240013,0.04,0.09045454545454545,0.12120338171956975,0.03,0.05818181818181818,0.07920055096227094,0.05,0.11318181818181819,0.1233804168931491,0.06,0.08272727272727273,0.07317180163227194,0.25,0.3704545454545455,0.3850352769580529,412.0,453.1818181818182,330.29159359047696,73.65,74.26818181818182,7.865196777342594,7161.5,8580.318181818182,7618.257333452402,86.2,85.37272727272726,7.591924394863006,82.69999999999999,79.82727272727273,12.291467494167373,9.0,12.090909090909092,9.942257532798315,34.5,40.13636363636363,34.02141546080512,8.0,10.545454545454545,10.154648350232671,1.5,3.6363636363636362,5.332250972422475,36.0,41.31818181818182,34.32392801868741,24.5,28.681818181818183,19.443168377010895,1.79,1.8827272727272728,1.109796986231874,2.0,2.3636363636363638,2.059714602177749,0.1,0.15636363636363637,0.15465924000679857,23.5,30.045454545454547,28.10605302155065,13.5,17.59090909090909,16.99764434914184,22.0,26.636363636363637,22.044425825063126,8.0,12.954545454545455,11.081848190052025,12.5,15.954545454545455,14.200862726063589,3.0,5.7727272727272725,9.314258491979448,7.5,10.181818181818182,8.409950815984164,9.5,13.545454545454545,12.715671892916696,689.5,780.2727272727273,501.7203909044864,31.0,99.5,214.042663748987,165.5,282.90909090909093,352.73852572758125,292.0,313.72727272727275,227.4833707827541,171.0,192.04545454545453,140.17726100250533,18.5,29.136363636363637,25.31947388031113,18.0,26.454545454545453,29.464631376694708,325.5,377.3181818181818,239.77020474248067,714.0,1012.2727272727273,794.2728439581393,12.0,19.727272727272727,19.988524846549474,11.5,14.590909090909092,11.223525848303307,2.0,5.0,6.9350730418098765,12.5,20.90909090909091,19.464030539651464,11.0,15.909090909090908,13.70751997613368,404.0,448.8181818181818,269.48091837450266,23.5,40.5,39.9043499240013,15.0,17.772727272727273,13.630958524734432,13.0,15.0,12.409673645990857,1.0,3.5,6.307591797644667,7.5,27.363636363636363,35.58296202042751,55.0,61.95454545454545,46.654226851560644,10.0,24.727272727272727,28.79514148533001,14.5,22.636363636363637,22.77957617931227
4,Manchester-City,22.0,19.24,8.762039336440653,16.0,14.92,8.405950273467004,1.0,2.6,4.406434688800762,0.0,1.88,2.5053276565484737,2.0,2.32,1.7492855684535902,0.0,0.04,0.2,1.2,2.4960000000000004,4.170079935285014,1.5,1.9920000000000002,2.2165889710694375,34.0,40.56,43.47995706836274,62.0,68.16,58.15401963751087,25.0,67.48,75.24411383401805,0.06,0.1832,0.25258199988650554,0.0,0.10279999999999999,0.1409940897106447,0.07,0.16399999999999998,0.22134061233010688,0.07,0.11960000000000001,0.12604496552156827,0.33,0.46880000000000005,0.5252802426641738,676.0,767.72,566.6331499891854,87.7,86.54800000000002,6.864347504800924,10078.0,12456.0,9299.120500527635,94.3,92.152,6.014712517374932,92.1,89.57999999999998,7.788345994711157,9.0,16.92,16.484639314626612,42.0,59.68,61.617584070350134,11.0,15.32,15.523423162004786,1.0,2.28,3.062134331910778,62.0,68.16,58.15401963751087,33.0,39.04,33.140458657055426,2.13,2.4212,1.758131868395163,3.0,4.56,4.426059195266146,0.28,0.2812,0.23896164266816267,15.0,17.68,16.074617673006514,7.0,10.8,10.432321569685882,12.0,16.12,14.950808227874058,6.0,8.52,8.211374225223611,11.0,12.04,9.230745726465802,1.0,3.2,4.699290726623896,9.0,8.84,6.731022705849882,5.0,7.96,8.25873275186131,878.0,1000.36,670.0436478319901,35.0,76.12,134.0862036154354,197.0,234.16,233.00101573455282,331.0,430.92,377.44347479677884,324.0,343.48,270.0856530806477,22.0,47.12,50.59917654138915,21.0,28.64,39.31060077553297,563.0,643.48,446.0446651775283,1674.0,1994.16,1516.486500654281,34.0,40.56,43.47995706836274,23.0,30.36,26.888473366853685,3.0,14.04,22.040644273704885,10.0,16.72,14.825428605383836,11.0,14.24,13.917255476565773,630.0,757.48,520.4894427363537,25.0,67.48,75.24411383401805,10.0,10.36,7.973288740120562,12.0,13.44,11.165721353022086,0.0,1.68,2.4617067250182343,8.0,22.96,31.07716203259236,46.0,51.72,34.71253375943623,5.0,10.96,13.408579343092242,8.0,11.72,10.97922280188053
5,Leicester-City,21.0,19.73076923076923,9.568940139044418,14.5,14.384615384615385,9.810512415065476,0.0,1.0384615384615385,1.799572598830494,0.0,0.8076923076923077,1.132050556087696,2.0,3.076923076923077,2.57562539082184,0.0,0.0,0.0,0.35,1.1307692307692305,2.084757871939901,0.4,0.8653846153846154,1.0563871667877485,14.0,20.346153846153847,22.200796936492722,28.5,37.96153846153846,34.587258658911686,19.5,37.46153846153846,40.218633262935,0.0,0.05846153846153846,0.09111277880483319,0.0,0.05653846153846154,0.08648432494700102,0.04,0.06615384615384616,0.08621261731681382,0.025,0.06538461538461539,0.07976118199880286,0.22,0.2703846153846154,0.264582399554177,404.0,483.84615384615387,361.55516229839037,77.6,77.9423076923077,8.378600029929729,6180.5,8105.576923076923,6262.134033526123,88.69999999999999,88.65,6.956105232096479,83.2,84.21153846153847,9.188006396300644,6.0,8.615384615384615,8.827579161137772,23.0,34.15384615384615,31.382405653731908,5.5,7.615384615384615,8.376523971562062,1.0,2.423076923076923,3.981688856985959,28.5,37.96153846153846,34.587258658911686,14.0,19.923076923076923,18.214111182098513,1.39,1.3349999999999997,0.9839278428828,1.0,1.8076923076923077,2.3497954084427137,0.05,0.11923076923076924,0.14761905234550388,21.5,25.384615384615383,21.936411599123357,12.0,14.846153846153847,13.165689674885423,18.5,24.26923076923077,21.495223082922756,10.0,12.692307692307692,11.821232527174923,15.0,17.26923076923077,13.689580540857174,3.5,6.615384615384615,8.114564304148058,9.0,10.653846153846153,8.347178242698824,9.0,11.307692307692308,11.606099192301368,740.5,754.4615384615385,511.96572000627003,33.0,99.11538461538461,166.40200165216208,147.5,275.96153846153845,278.98852747297417,320.0,343.5769230769231,271.3959724206567,100.5,142.23076923076923,132.36715837164675,15.5,21.76923076923077,23.943780306890044,11.5,22.46153846153846,26.610119532584996,437.5,428.4230769230769,280.59852787595634,1080.5,1065.1538461538462,734.146998485055,14.0,20.346153846153847,22.200796936492722,8.0,12.846153846153847,12.078716182417095,2.5,4.8076923076923075,6.177502607165655,12.0,17.0,15.615377036754508,7.5,11.307692307692308,12.830492526070016,468.5,479.53846153846155,320.69539825438477,19.5,37.46153846153846,40.218633262935,13.0,14.0,10.654576481493763,11.0,13.0,11.327841806805036,1.0,2.230769230769231,4.885142309556129,9.5,22.0,27.36274839996889,41.0,51.65384615384615,37.202088444271304,11.5,17.576923076923077,16.560611285633335,15.0,19.576923076923077,17.497824040544188
6,Bournemouth,25.0,21.608695652173914,9.838417881100703,17.0,16.217391304347824,11.32959327577413,1.0,2.260869565217391,3.4930761554349172,1.0,1.6521739130434783,1.991086858344044,3.0,3.782608695652174,3.147242974401714,0.0,0.08695652173913043,0.28810406552003043,1.1,2.639130434782609,3.500095989649269,1.1,1.7739130434782608,1.8273720304167422,19.0,29.26086956521739,34.02167409608756,41.0,57.43478260869565,51.583847090270524,31.0,56.608695652173914,70.37738475238321,0.03,0.13434782608695653,0.1811284347677717,0.05,0.10130434782608697,0.11577031916004626,0.08,0.1817391304347826,0.20211725161205188,0.1,0.1291304347826087,0.14881083304524761,0.15,0.5434782608695652,0.6548810349677828,436.0,488.9130434782609,394.51787758126414,74.2,73.82173913043479,6.578750677317715,7088.0,8854.95652173913,7609.613456186141,88.0,86.80434782608697,7.180812707921372,78.2,81.36956521739133,10.782411384143948,11.0,17.434782608695652,16.255980960743262,37.0,47.34782608695652,47.00832488714793,7.0,12.956521739130435,13.656427926636416,2.0,3.9130434782608696,5.264918573817909,41.0,57.43478260869565,51.583847090270524,28.0,40.130434782608695,35.78509637446355,2.35,2.599565217391304,1.8688972885364286,2.0,3.869565217391304,4.026100615484902,0.22,0.23000000000000004,0.20522714688408505,21.0,27.47826086956522,23.125879964028872,10.0,15.91304347826087,14.406163590877156,25.0,24.869565217391305,21.02445404723247,13.0,13.130434782608695,10.493739899344694,15.0,18.47826086956522,16.525103672394895,3.0,5.565217391304348,7.082796616107111,8.0,12.91304347826087,12.58033473856667,10.0,14.0,15.300029708824395,783.0,829.0869565217391,608.2685496213807,44.0,87.47826086956522,146.08150575658328,159.0,249.65217391304347,270.36097228699333,298.0,354.17391304347825,312.7164925984605,127.0,235.52173913043478,234.76174954916186,19.0,39.130434782608695,47.7772334027469,16.0,26.434782608695652,31.649825630650678,479.0,445.1304347826087,332.0133217956809,1080.0,1396.8695652173913,1258.7526403095114,19.0,29.26086956521739,34.02167409608756,15.0,20.347826086956523,19.816450227140656,1.0,9.0,15.888818252297604,17.0,22.956521739130434,21.07449613518147,8.0,13.826086956521738,17.001743691090905,413.0,484.0,357.83973050413607,31.0,56.608695652173914,70.37738475238321,15.0,19.82608695652174,17.739663248605172,10.0,15.304347826086957,13.569467004367148,0.0,2.739130434782609,5.074153680479389,10.0,32.30434782608695,40.418756652426396,56.0,71.43478260869566,56.26384765868474,20.0,22.782608695652176,20.828207538072302,22.0,24.217391304347824,20.54032955772426
7,Brighton-and-Hove-Albion,20.0,18.964285714285715,9.758119668814247,9.0,13.357142857142858,9.866570141097986,1.0,1.9285714285714286,2.9555794246559732,1.0,1.2857142857142858,1.5836465855538944,2.0,2.607142857142857,2.543536262681686,0.0,0.10714285714285714,0.314970394174356,0.75,1.8821428571428576,2.6435180783735586,0.9500000000000001,1.292857142857143,1.396537668778562,16.5,25.857142857142858,29.882131767024237,38.5,48.92857142857143,49.26416214610446,26.5,48.642857142857146,62.019240912689696,0.045,0.12249999999999998,0.14913640288898838,0.035,0.09035714285714283,0.12638806034963035,0.09,0.12964285714285714,0.11955107827811641,0.09,0.10178571428571427,0.07635460991339328,0.31,0.45607142857142857,0.649925005848762,333.0,506.0357142857143,475.94463435734303,80.7,79.44642857142857,8.259965121568237,4728.0,8611.857142857143,9051.475900583064,90.9,89.52142857142857,6.168219452721444,82.1,81.33928571428571,10.68489204388224,9.0,11.714285714285714,9.988353005736018,21.5,37.92857142857143,47.64446147239686,7.5,10.785714285714286,10.386448232110286,1.0,2.8214285714285716,3.77176225075103,38.5,48.92857142857143,49.26416214610446,23.5,29.607142857142858,23.477868673717328,2.8099999999999996,2.5025000000000004,1.2330829325388128,3.0,3.4642857142857144,2.9247620081355,0.29,0.29964285714285716,0.27560683406644143,16.5,22.107142857142858,19.23796263509227,10.0,13.464285714285714,11.714132467703251,17.5,22.464285714285715,18.4942075873965,9.0,11.607142857142858,9.121968946467504,12.0,14.0,12.058499384558901,2.0,3.892857142857143,5.328743064316635,9.0,10.107142857142858,9.753780978996986,8.5,10.0,9.564595207403263,630.0,757.3928571428571,610.2353728828414,22.5,83.03571428571429,190.60089816407574,118.0,241.46428571428572,318.66544422625327,227.0,328.7857142857143,319.4130446955683,147.0,195.60714285714286,177.30833977705998,17.0,34.0,41.84096875870188,12.0,26.214285714285715,31.645439836315475,367.5,445.2857142857143,381.5798404045667,1026.0,1340.142857142857,1411.6984966708171,16.5,25.857142857142858,29.882131767024237,15.5,18.321428571428573,18.44120501290635,2.5,8.285714285714286,14.771988363508827,10.0,18.357142857142858,18.911517724537674,7.0,11.142857142857142,12.026865869606373,408.0,500.2857142857143,419.44556501479667,26.5,48.642857142857146,62.019240912689696,10.5,14.071428571428571,12.250256449102732,8.0,13.357142857142858,14.502143610934533,1.0,1.4285714285714286,1.7935805576921315,10.0,22.178571428571427,27.224789318544847,39.0,52.107142857142854,43.578230451822726,11.5,16.714285714285715,17.755243655007305,10.5,15.0,14.404217489384195
8,Crystal-Palace,29.0,23.38095238095238,10.2101723319256,18.0,17.714285714285715,12.470536705141672,0.0,1.8571428571428572,3.3657943235693155,1.0,1.5238095238095237,2.088517359732679,2.0,3.4761904761904763,3.249908423618235,0.0,0.19047619047619047,0.40237390808147827,1.0,2.442857142857143,3.342090876767331,1.2,1.880952380952381,2.105853519981636,11.0,21.095238095238095,21.89498746723725,46.0,48.666666666666664,38.24961873448326,10.0,48.19047619047619,62.81370793673866,0.0,0.08571428571428572,0.1327242038428345,0.03,0.06190476190476192,0.08127847486383143,0.08,0.13952380952380952,0.14030239450829735,0.11,0.10095238095238096,0.074826784102002,0.34,0.49666666666666665,0.46675832433212516,511.0,504.3809523809524,382.23441448808296,75.6,74.22857142857143,6.9595361093353665,8122.0,9060.904761904761,7422.365289479912,85.3,84.41904761904762,6.449621620499847,82.0,79.96666666666667,10.583020992766354,9.0,15.619047619047619,15.75904879894783,27.0,37.80952380952381,31.628498300771483,4.0,11.428571428571429,12.010709506816939,1.0,2.8095238095238093,4.069632017996806,46.0,48.666666666666664,38.24961873448326,26.0,36.285714285714285,33.815888066325954,2.06,2.1966666666666663,1.4960325308406008,3.0,3.5238095238095237,3.310876736138747,0.16,0.17523809523809525,0.16794698710066364,21.0,32.61904761904762,29.189854728100634,14.0,19.142857142857142,18.12259836305411,23.0,27.952380952380953,21.553366768271243,15.0,14.047619047619047,9.836036755096996,19.0,20.476190476190474,17.704855400762376,3.0,5.904761904761905,6.766866053829955,13.0,14.571428571428571,12.765466809213946,11.0,13.666666666666666,14.065323790561429,827.0,860.8571428571429,604.1603500490813,27.0,107.71428571428571,212.6010684020997,172.0,322.7142857142857,357.72924717684776,367.0,358.14285714285717,264.31009926113035,137.0,188.23809523809524,178.23998001624236,15.0,32.57142857142857,34.794498744156996,12.0,20.333333333333332,28.555793340990075,413.0,431.5238095238095,304.6474386971962,949.0,1055.0,767.8334454815055,11.0,21.095238095238095,21.89498746723725,10.0,15.0,13.663820841916802,1.0,5.190476190476191,7.514113704350287,14.0,21.0,20.381364036786152,13.0,14.380952380952381,14.111967228123055,510.0,499.6666666666667,342.6654831367369,10.0,48.19047619047619,62.81370793673866,12.0,17.61904761904762,15.847637648798608,18.0,17.238095238095237,14.96631137556867,1.0,3.142857142857143,4.912084224498948,11.0,25.428571428571427,31.18584843894972,60.0,70.85714285714286,52.539780846788574,17.0,21.666666666666668,21.548395145191982,19.0,27.142857142857142,24.63389070830208
9,Fulham,26.0,23.772727272727273,9.211441220061568,17.0,16.954545454545453,11.180243087600354,0.5,2.227272727272727,3.2649920612726087,1.0,1.9090909090909092,2.561790499391112,2.0,3.1818181818181817,2.9702711698615705,0.0,0.09090909090909091,0.29424494316824984,1.0,2.0772727272727276,2.670996214752237,0.95,1.5909090909090908,1.8204942005398246,22.0,32.18181818181818,35.314419506884505,51.0,63.86363636363637,48.530104014631945,38.0,62.77272727272727,70.3406214807847,0.015,0.16863636363636364,0.25471357311498793,0.09,0.1081818181818182,0.12385230696032246,0.095,0.14863636363636362,0.15387983730497096,0.085,0.10181818181818182,0.08203578566619649,0.265,0.5436363636363636,0.60930518941891,643.0,661.5,493.4484823787634,81.5,80.31818181818181,7.882568856336858,10959.5,11796.545454545454,9638.515992903396,90.6,88.52272727272728,6.603385265884233,84.75,84.44545454545454,9.094934606572798,9.5,16.0,16.52703413026237,44.5,54.77272727272727,46.87971621296136,7.0,13.409090909090908,18.332014907335488,2.5,4.2272727272727275,6.711268549322516,51.0,63.86363636363637,48.530104014631945,30.0,37.72727272727273,31.05629576259066,2.2249999999999996,2.537272727272727,1.7013165261284926,3.0,4.136363636363637,4.2683269226495195,0.185,0.23727272727272727,0.20619412531887835,23.0,27.181818181818183,21.83626595419901,12.0,16.636363636363637,14.127128426391456,18.0,22.954545454545453,19.850578191716597,8.0,11.227272727272727,10.800933902222214,14.0,15.045454545454545,10.943479348897233,2.0,4.5,6.123724356957945,9.5,10.545454545454545,8.028089215387212,8.5,12.409090909090908,13.514222106144295,950.0,975.7727272727273,670.3984552074897,26.5,106.04545454545455,229.9006984957444,154.5,327.22727272727275,387.48111251274247,379.0,401.8636363636364,314.424840811728,204.0,257.09090909090907,222.62950411815618,32.0,38.0,37.003217363333356,18.5,26.09090909090909,26.120433692361544,526.5,578.0,409.20864395283036,1213.0,1563.9545454545455,1265.6253292447864,22.0,32.18181818181818,35.314419506884505,17.5,22.636363636363637,22.966944060551885,4.5,9.181818181818182,11.159605572635465,14.5,20.5,17.767680664354483,7.5,11.363636363636363,11.499670614518672,632.5,654.8181818181819,446.8200486148264,38.0,62.77272727272727,70.3406214807847,15.0,17.181818181818183,13.343935178971982,15.0,14.681818181818182,10.749911909434704,1.0,1.7727272727272727,3.1912352912285677,15.0,36.81818181818182,50.39901393936796,58.0,65.9090909090909,44.02262307031854,15.0,21.818181818181817,22.338598591070728,19.0,21.772727272727273,20.118534023517004
